Zone,National Unit Rate (euro),Global Unit Rate (euro),Exchange Rate Applied
Belgique-Luxembourg / Belgium-Luxembourg *,120.49,120.6,-
Allemagne / Germany *,99.91,100.02,-
France *,79.96,80.07,-
Royaume-Uni / United Kingdom,87.67,87.78,0.839938 GBP
Pays-Bas / Netherlands *,136.88,136.99,-
Irlande / Ireland *,33.71,33.82,-
Suisse / Switzerland,167.77,167.88,0.940800 CHF
Portugal Lisboa *,42.39,42.5,-
Autriche / Austria *,65.61,65.72,-
Espagne / Spain - Continent. *,66.2,66.31,-
Espagne / Spain - Canarias *,51.78,51.89,-
Portugal Santa Maria *,8.14,8.25,-
Grèce / Greece *,25.35,25.46,-
Turkiye **,36.97,37.08,-
Malte / Malta *,18.81,18.92,-
Italie / Italy *,74.94,75.05,-
Chypre / Cyprus *,36.64,36.75,-
Hongrie / Hungary,35.87,35.96,394.567 HUF
Norvège / Norway,53.95,54.06,11.7786 NOK
Danemark / Denmark,90.65,90.76,7.45871 DKK
Slovénie / Slovenia *,65.6,65.25,-
Roumanie / Romania,49.27,49.38,4.97230 RON
République Tchèque / Czech Republic,79.6,79.81,25.0753 CZK
Suède / Sweden,91.5,91.61,11.3496 SEK
République Slovaque / Slovak Republic *,80.25,80.36,-
Croatie / Croatia *,39.6,39.71,-
Bulgaria / Bulgaria,29.43,29.54,1.95482 BGN
Macédoine du Nord / North Macedonia,49.0,49.17,-
Moldavie / Moldova,219.16,219.27,19.2100 MDL
Finlande / Finland *,77.98,78.09,-
Albanie / Albania,49.12,49.23,98.7614 ALL
Bosnie-Herzégovine / Bosnia and Herzegovina,27.54,27.54,1.95553 BAM
Serbie/Monténégro/KFOR / Serbia/Montenegro/KFOR,37.77,37.88,116.943 RSD
Lituanie / Lithuania *,65.55,65.65,-
Pologne / Poland,32.25,32.32,4.27352 PLN
Arménie / Armenia,45.06,45.17,428.997 AMD
Lettonie / Latvia *,63.4,63.51,-
Géorgie / Georgia,17.15,17.43,2.97881 GEL
Estonie / Estonia *,86.18,86.99,-
Ukraine,41.12,41.23,45.7433 UAH
Ukraine Sud / Ukraine South,16.12,16.23,45.7433 UAH
