designator,name
EBBU,BRUSSELS FIR
EDGG,LANGEN FIR
EDMM,MUNICH FIR
EDWW,BREMEN FIR
EETT,TALLINN FIR
EFIN,FINLAND FIR
EGGX,SHANWICK FIR
EGPX,SCOTTISH FIR
EGTT,LONDON FIR
EHAA,AMSTERDAM FIR
EISN,SHANNON FIR
EKDK,KOEBENHAVN FIR
ENOB,BODO OCEANIC FIR
ENOR,NORWAY FIR
EPWW,WARSZAWA FIR
ESAA,SWEDEN FIR
EVRR,RIGA FIR
EYVL,VILNIUS FIR
GCCC,CANARIAS FIR
LAAA,TIRANA FIR
LBSR,FIR SOFIA
LCCC,NICOSIA FIR
LDZO,ZAGREB FIR/UIR
LECB,BARCELONA FIR
LECM,MADRID FIR
LFBB,BORDEAUX FIR
LFEE,REIMS FIR
LFFF,PARIS FIR
LFMM,MARSEILLE FIR
LFRR,BREST FIR
LGGG,ATHINAI FIR
LHCC,BUDAPEST FIR
LIBB,BRINDISI FIR
LIMM,MILANO FIR
LIRR,ROMA FIR
LJLA,LJUBLJANA FIR
LKAA,FIR PRAHA
LLLL,TEL AVIV FIR
LMMM,MALTA FIR
LOVV,WIEN FIR
LPPC,LISBOA FIR
LPPO,SANTA MARIA OCEANIC FIR
LQSB,SARAJEVO FIR
LRBB,BUCURESTI FIR
LSAS,SWITZERLAND FIR
LTAA,ANKARA FIR
LTBB,ISTANBUL FIR
LUUU,CHISINAU FIR
LWSS,SKOPJE FIR
LYBA,BEOGRAD FIR
LZBB,BRATISLAVA FIR
UDDD,YEREVAN FIR
UGGG,TBILISI FIR
UKBV,KYIV FIR
UKDV,DNIPROPETROVSK FIR
UKFV,SIMFEROPOL' FIR
UKLV,L'VIV FIR
UKOV,ODESA FIR
